request_num,status_code,response_time,success,timestamp,phase
1,200,1.371354579925537,True,1766511077.6109555,Phase 1 (1-11)
2,200,1.1986842155456543,True,1766511078.910788,Phase 1 (1-11)
3,200,1.3314831256866455,True,1766511080.3431418,Phase 1 (1-11)
4,200,0.9005477428436279,True,1766511081.3449886,Phase 1 (1-11)
5,200,1.2857205867767334,True,1766511082.7319274,Phase 1 (1-11)
6,200,0.9067540168762207,True,1766511083.739073,Phase 1 (1-11)
7,200,0.7838153839111328,True,1766511084.624449,Phase 1 (1-11)
8,200,1.1467106342315674,True,1766511085.8716545,Phase 1 (1-11)
9,200,1.3386833667755127,True,1766511087.3115695,Phase 1 (1-11)
10,429,0.27094316482543945,False,1766511087.6833286,Phase 1 (1-11)
11,200,1.1442530155181885,True,1766511088.9282575,Phase 1 (1-11)
12,200,1.104050636291504,True,1766511150.1649158,Phase 2 (12-22)
13,200,0.8410487174987793,True,1766511151.1065292,Phase 2 (12-22)
14,200,0.8940632343292236,True,1766511152.102104,Phase 2 (12-22)
15,200,1.1290984153747559,True,1766511153.3317919,Phase 2 (12-22)
16,200,1.1315207481384277,True,1766511154.5650678,Phase 2 (12-22)
17,200,1.1805949211120605,True,1766511155.8497684,Phase 2 (12-22)
18,200,1.1921651363372803,True,1766511157.144522,Phase 2 (12-22)
19,200,1.1541693210601807,True,1766511158.4001098,Phase 2 (12-22)
20,200,0.8840749263763428,True,1766511159.3853962,Phase 2 (12-22)
21,200,0.8841984272003174,True,1766511160.3721128,Phase 2 (12-22)
22,429,0.3169560432434082,False,1766511160.790439,Phase 2 (12-22)
23,200,0.8535528182983398,True,1766511161.7451117,Phase 3 (23)
