request_num,status_code,response_time,success,timestamp,datetime,phase
1,200,1.3484704494476318,True,1766511390.4104948,2025-12-23 23:06:30.410495,Phase 1
2,200,1.2767267227172852,True,1766511391.790662,2025-12-23 23:06:31.790662,Phase 1
3,200,0.7627067565917969,True,1766511392.655251,2025-12-23 23:06:32.655251,Phase 1
4,200,0.8238153457641602,True,1766511393.5818195,2025-12-23 23:06:33.581820,Phase 1
5,200,0.8036274909973145,True,1766511394.4865975,2025-12-23 23:06:34.486598,Phase 1
6,200,1.1058404445648193,True,1766511395.693536,2025-12-23 23:06:35.693536,Phase 1
7,200,1.2443478107452393,True,1766511397.0409317,2025-12-23 23:06:37.040932,Phase 1
8,200,0.8261940479278564,True,1766511397.9682584,2025-12-23 23:06:37.968258,Phase 1
9,429,0.25803565979003906,False,1766511398.3299637,2025-12-23 23:06:38.329964,Phase 1
10,200,1.4788215160369873,True,1766511399.9100695,2025-12-23 23:06:39.910069,Phase 1
11,200,0.8005285263061523,True,1766511400.8113282,2025-12-23 23:06:40.811328,Phase 1
12,200,0.7732949256896973,True,1766511401.6865928,2025-12-23 23:06:41.686593,Phase 1
13,200,0.8302390575408936,True,1766511402.618384,2025-12-23 23:06:42.618384,Phase 1
14,200,1.262723684310913,True,1766511403.9823837,2025-12-23 23:06:43.982384,Phase 1
15,200,1.188220500946045,True,1766511405.273026,2025-12-23 23:06:45.273026,Phase 1
16,429,0.29098987579345703,False,1766511405.6654556,2025-12-23 23:06:45.665456,Phase 1
17,200,0.816749095916748,True,1766511406.5854402,2025-12-23 23:06:46.585440,Phase 1
18,200,0.8487067222595215,True,1766511407.5352771,2025-12-23 23:06:47.535277,Phase 1
19,200,0.8588964939117432,True,1766511408.49713,2025-12-23 23:06:48.497130,Phase 1
20,429,0.2959756851196289,False,1766511408.893469,2025-12-23 23:06:48.893469,Phase 1
1,200,1.2142918109893799,True,1766511470.2170594,2025-12-23 23:07:50.217059,Phase 2
2,200,1.2176513671875,True,1766511471.5363722,2025-12-23 23:07:51.536372,Phase 2
3,200,1.4546051025390625,True,1766511473.0925758,2025-12-23 23:07:53.092576,Phase 2
4,200,1.0911121368408203,True,1766511474.2855942,2025-12-23 23:07:54.285594,Phase 2
5,200,0.7883195877075195,True,1766511475.1750658,2025-12-23 23:07:55.175066,Phase 2
6,200,1.1009342670440674,True,1766511476.376689,2025-12-23 23:07:56.376689,Phase 2
7,200,1.149921178817749,True,1766511477.6281312,2025-12-23 23:07:57.628131,Phase 2
8,429,0.2743809223175049,False,1766511478.0063171,2025-12-23 23:07:58.006317,Phase 2
9,200,0.7813427448272705,True,1766511478.8925283,2025-12-23 23:07:58.892528,Phase 2
10,429,0.2748897075653076,False,1766511479.2683096,2025-12-23 23:07:59.268310,Phase 2
11,200,0.9671585559844971,True,1766511480.3360126,2025-12-23 23:08:00.336013,Phase 2
12,200,1.3476340770721436,True,1766511481.7852495,2025-12-23 23:08:01.785249,Phase 2
13,200,0.7608439922332764,True,1766511482.6511216,2025-12-23 23:08:02.651122,Phase 2
14,200,1.148946762084961,True,1766511483.9018183,2025-12-23 23:08:03.901818,Phase 2
15,200,0.8079557418823242,True,1766511484.8117979,2025-12-23 23:08:04.811798,Phase 2
16,200,1.1180436611175537,True,1766511486.0353818,2025-12-23 23:08:06.035382,Phase 2
17,200,1.110036849975586,True,1766511487.247209,2025-12-23 23:08:07.247209,Phase 2
18,200,1.4595744609832764,True,1766511488.8088202,2025-12-23 23:08:08.808820,Phase 2
19,200,0.8614132404327393,True,1766511489.7717988,2025-12-23 23:08:09.771799,Phase 2
20,200,1.145411491394043,True,1766511491.0202553,2025-12-23 23:08:11.020255,Phase 2
